#,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
77,Respawn Entertainment,Indie,5,0,$220m,$44m,United States,0,0,1,0,0.4,0,0,0,0,0,0
78,Capcom,AAA,17,0,$219.3m,$12.9m,Japan,1,0,1,0,0.53,0,0,0.06,0,0,0
79,Psyonix LLC,Indie,1,0,$218.1m,$218.1m,United States,1,1,1,0,0,0,0,0,0,1,1
80,Fatshark,AA,11,0,$202.7m,$18.4m,Sweden,0.82,0.64,0.73,0.27,0.55,0,0.18,0.09,0,0,0.09
81,2K Australia,AAA,5,0,$202.2m,$40.4m,N/A,0,0,1,0,0,0,0,0.8,0,0,0
82,Monolith Productions,Indie,6,0,$197m,$32.8m,United States,0,0,0.83,0,0.67,0,0.17,0.17,0,0,0
83,Ubisoft Singapore,AAA,2,0,$194.9m,$97.4m,N/A,0,0,0.5,0,0.5,0,0,0.5,0,0,0
84,Red Storm,Indie,1,0,$191.5m,$191.5m,N/A,0,0,1,0,1,0,0,0,0,0,0
85,343 Industries,Indie,5,0,$189.7m,$37.9m,United States,0,0,0.8,0,0,0,0.2,0,0,0,0
86,Kinetic Games,Indie,1,0,$189.2m,$189.2m,United Kingdom,1,1,1,0,0,0,0,0,0,0,0
87,BANDAI NAMCO Studios Inc.,AAA,19,3,$187.4m,$9.9m,Japan,0,0.05,0.86,0.32,0.09,0.09,0,0.23,0.14,0.05,0.05
88,Ruffian Games,Indie,3,0,$182.5m,$60.8m,United Kingdom,0.67,0.67,1,0.33,0,0,0,0,0,0,0.33
89,Bungie,AA,2,0,$182.5m,$91.2m,United States,0.5,0,1,0,0.5,0,0,0,0,0,0
90,SCS Software,AA,20,0,$182.1m,$9.1m,Czech Republic,0.3,0.3,0.2,0.05,0.05,0.9,0.05,0,0,0.05,0.2
91,Sports Interactive,Indie,21,1,$180.9m,$8.6m,United Kingdom,0,0.09,0,0,0,0.86,0.05,0,0,0,0.91
92,Ensemble Studios,Indie,5,0,$178.9m,$35.8m,United States,0,0,0.2,0,0,0.4,1,0,0,0,0
93,Redbeet Interactive,Indie,1,0,$174.7m,$174.7m,Sweden,0,1,0,0,1,1,0,0,0,0,0
94,Supergiant Games,AA,4,1,$173.8m,$43.5m,United States,1,1,1,0,0,0,0,1,0,0,0
95,4A Games,Indie,5,0,$172.8m,$34.6m,Ukraine,0,0,1,0,0,0,0,0,0,0,0
