#,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
235,Undead Labs,Indie,4,0,$58.8m,$14.7m,United States,0,0,1,0.25,0.25,0.75,0.25,1,0,0,0
236,WOLCEN Studio,AA,1,0,$58.3m,$58.3m,France,1,1,1,0,1,0,0,1,0,0,0
237,Team Cherry,AA,1,1,$58m,$58m,Australia,1,1,1,0,1,0,0,0,0,0,0
238,Red Dot Games,Indie,7,0,$56.9m,$8.1m,Poland,0.14,0,0.14,0,0,1,0,0.14,0,0.71,0
239,Keen Software House,AA,4,0,$56.8m,$14.2m,Czech Republic,1,1,1,0,0.25,0.75,0.5,0.25,0,0,0
240,Landfall,Indie,8,0,$56.3m,$7m,Sweden,0.88,1,0.88,0.13,0.13,0.25,0.25,0,0,0.13,0
241,Crate Entertainment,AA,2,0,$56.2m,$28.1m,United States,1,1,0.5,0,0.5,0.5,0.5,0.5,0,0,0
242,Naughty Dog LLC,AA,2,0,$56.1m,$28.1m,N/A,0,0,0.5,0,1,0,0,0,0,0,0
243,Wicked Witch,Indie,7,0,$56.1m,$8m,Australia,0.43,0,0.14,0.29,0,0.29,0.14,0,0,0,0.71
244,Monomi Park,Indie,2,0,$54.5m,$27.2m,United States,1,1,1,0.5,1,1,0,0,0,0,0
245,Bend Studio,Indie,1,0,$54.2m,$54.2m,United States,0,0,1,0,1,0,0,0,0,0,0
246,2K Czech,AAA,1,0,$54.1m,$54.1m,0,0,0,1,0,0,0,0,0,0,0,0
247,CI Games,AA,8,0,$53.2m,$6.6m,Poland,1,0,1,0,0,0,0,0.13,0,0,0
248,inXile Entertainment,Indie,13,1,$52.6m,$4m,United States,0.79,0.21,0.36,0,0.36,0,0.36,0.79,0,0,0
249,Digitalmindsoft,Indie,6,1,$52.3m,$8.7m,Germany,0.29,0.14,0.71,0,0,0.71,1,0,0,0,0
250,GSC Game World,Indie,12,1,$52m,$4.3m,Ukraine,0.38,0,0.38,0,0.15,0,0.69,0.31,0,0,0
251,Ubisoft - San Francisco,AAA,4,0,$51.5m,$12.9m,United States,0.25,0,0,0.75,0,0.5,0,0.25,0,0,0
252,Triumph Studios,Indie,9,0,$51m,$5.7m,Netherlands,0,0,0,0,0,0,0.67,0.78,0,0,0
253,Eugen Systems,Indie,9,0,$50.8m,$5.6m,France,0.67,0.67,0.56,0,0,0.67,0.78,0,0,0,0
254,Sledgehammer,Indie,1,0,$48.8m,$48.8m,N/A,0,0,0,0,0,0,0,0,0,0,0
255,Owlcat Games,Indie,2,1,$48.6m,$24.3m,Russia,0.67,0.67,0,0,1,0,0.67,1,0,0,0
256,Harebrained Schemes,Indie,5,1,$47.6m,$9.5m,United States,0,0.67,0.33,0,1,0,0.83,0.67,0,0,0
257,OVERKILL Software,Indie,1,0,$47.3m,$47.3m,Sweden,0,0,1,0,0,0,0,0,0,0,0
258,Idea Factory,Indie,48,0,$47.3m,$985k,Japan,0.04,0,0.27,0.04,0.54,0.08,0.44,0.77,0,0,0
259,NeoCoreGames,Indie,13,0,$47.3m,$3.6m,Hungary,0.62,0.54,0.54,0,0.54,0,0.54,0.85,0,0,0
260,Criterion Games,Indie,7,0,$47.1m,$6.7m,United Kingdom,0,0,0.71,0,0.43,0,0,0,0,1,0.14
